Name;Coordinates
Forchies-la-Marche;50.4369, 4.32115
Estinnes-au-Mont;50.39692, 4.09653
Émines;50.51304, 4.84411
Eben-Emael;50.794, 5.66689
Carnières;50.44428, 4.25509
Brugge;51.20892, 3.22424
Broechem;51.18133, 4.60181
Biercée;50.3242, 4.25943
Berloz;50.69829, 5.21236
Berchem-Sainte-Agathe;50.86567, 4.29557
Bellem;51.09403, 3.49277
Basècles;50.52549, 3.64944
Adegem;51.20509, 3.4954
Zwijnaarde;51.00077, 3.70746
Zwevezele;51.03683, 3.21186
Zonnebeke;50.8726, 2.98725
Wijtschate;50.78632, 2.88369
Wierde;50.42607, 4.95097
Waret-l'Évêque;50.55672, 5.06755
Vosselare;51.02888, 3.55664
Velzeke-Ruddershove;50.88288, 3.78292
Vaux-sous-Chèvremont;50.60302, 5.6335
Uccle;50.80225, 4.33943
Turnhout;51.32254, 4.94471
Sivry;50.1664, 4.18416
Sint-Maria-Horebeke;50.83885, 3.68754
Sint-Baafs-Vijve;50.9, 3.38333
Seraing;50.58362, 5.50115
Schoonaarde;51.00387, 4.0152
Schelderode;50.96922, 3.7133
Saint-Ghislain;50.44816, 3.81886
Rumst;51.08153, 4.42217
Riemst;50.80995, 5.60131
Oosteeklo;51.19302, 3.68928
Noiseux;50.29976, 5.37506
Neuville-en-Condroz;50.55293, 5.45076
Neufchâteau;49.84074, 5.43535
Neerharen;50.90964, 5.68027
Munkzwalm;50.87676, 3.73503
Mortier;50.68428, 5.74327
Moresnet;50.72146, 5.98987
Momalle;50.68585, 5.37592
Molenbeek-Wersbeek;50.91947, 4.9476
Moere;51.12263, 2.95582
Marchin;50.46707, 5.2428
Leke;51.10022, 2.89098
Latour;49.55736, 5.57065
Landegem;51.05518, 3.57667
Koekelare;51.09047, 2.9783
Kalmthout;51.38442, 4.47556
Jumet;50.4422, 4.43745
Jemelle;50.16315, 5.26709
Irchonwelz;50.62066, 3.7508
Héron;50.54731, 5.09774
Heldergem;50.87799, 3.95789
Gullegem;50.84301, 3.20466
Ertvelde;51.17921, 3.74722
Enghien;50.69375, 4.03788
Élouges;50.40245, 3.75175
Drogenbos;50.78733, 4.31471
Butgenbach;50.42689, 6.20504
Brussegem;50.9256, 4.26682
Bouffioulx;50.39116, 4.5155
Borsbeke;50.90633, 3.88996
Bonlez;50.70211, 4.68859
Blauwput;50.88587, 4.72415
Bevere;50.8496, 3.5873
Bevel;51.13783, 4.68026
Berg;50.93063, 4.54336
Berbroek;50.95031, 5.20904
Bekkevoort;50.94074, 4.969
Basse Lasne;50.69503, 4.49218
Aye;50.22471, 5.30064
Yvoir;50.3279, 4.88059
Wilrijk;51.16734, 4.39513
Waterloo;50.71469, 4.3991
Warchin;50.60925, 3.424
Wanze;50.53907, 5.20846
Vosselaar;51.30856, 4.8896
Virginal-Samme;50.64037, 4.20579
Vichte;50.83868, 3.40129
Vaux-sur-Sûre;49.911, 5.57848
Tourinnes-Saint-Lambert;50.64021, 4.72361
Stabroek;51.33189, 4.37127
Sougné-Remouchamps;50.48242, 5.70757
Somme-Leuze;50.33699, 5.36705
Sint-Truiden;50.81679, 5.18647
Sint-Martens-Leerne;51.01605, 3.5813
Sint-Lievens-Houtem;50.9197, 3.86225
Sint-Laureins;51.24202, 3.52441
Sint-Agatha-Rode;50.78597, 4.63099
Serinchamps;50.23134, 5.23018
Seloignes;50.01515, 4.25517
Seilles;50.50065, 5.09268
Saint-Mard;49.55403, 5.53427
Saint-Léger;49.61196, 5.65688
Sainte-Marie-sur-Semois;49.67124, 5.5638
Rhisnes;50.50682, 4.80592
Reppel;51.15405, 5.5624
Piétrebais;50.72776, 4.76455
Perwez;50.62426, 4.81354
Oupeye;50.71184, 5.6468
Nossegem;50.88181, 4.50817
Nobressart;49.73895, 5.72012
Morialmé;50.27557, 4.56576
Montignies-sur-Sambre;50.41081, 4.49109
Molenbeek-Saint-Jean;50.8499, 4.31248
Modave;50.44614, 5.29532
Middelkerke;51.18532, 2.82077
Meslin-l'Évêque;50.64859, 3.84736
Meerbeke;50.82444, 4.03674
Mazenzele;50.94247, 4.17224
Mariembourg;50.09489, 4.52161
Marenne;50.24129, 5.41498
Lippelo;51.04258, 4.259
Leeuwergem;50.888, 3.831
Kessenich;51.15086, 5.8233
Hoevenen;51.30604, 4.40203
Herzele;50.88681, 3.89014
Herderen;50.80734, 5.5735
Henri-Chapelle;50.67688, 5.93009
Haulchin;50.38406, 4.08297
