Name;Coordinates
Moerbeke;51.17409, 3.93001
Messancy;49.59201, 5.81879
Meerbeek;50.88213, 4.58972
Mechelen-aan-de-Maas;50.96589, 5.69144
Mater;50.84321, 3.66258
Martelange;49.83195, 5.73655
Londerzeel;51.00468, 4.30304
Linkhout;50.96778, 5.1374
Leuze;50.54635, 4.9063
Leignon;50.26861, 5.11045
La Louvière;50.48657, 4.18785
Koolskamp;51.00233, 3.2104
Klemskerke;51.24222, 3.02401
Kanegem;51.0129, 3.40188
Huldenberg;50.78939, 4.5831
Hoves;50.67117, 4.03651
Hove;51.15446, 4.4707
Hooglede;50.98333, 3.08333
Heffen;51.04722, 4.41599
Havré;50.46401, 4.04675
Haine-Saint-Paul;50.46185, 4.1767
Eynatten;50.69243, 6.08351
Estinnes-au-Val;50.41016, 4.10477
Embourg;50.59043, 5.6068
Desselgem;50.88611, 3.35958
Dessel;51.23855, 5.11448
Clermont-sous-Huy;50.56961, 5.39231
Brussels;50.85045, 4.34878
Bonheiden;51.02261, 4.54714
Bierset;50.65496, 5.45102
Beverlo;51.08646, 5.21855
Beveren;50.97256, 3.14389
Bertrix;49.85596, 5.25539
Bertogne;50.08364, 5.66689
Ben-Ahin;50.50415, 5.18683
Beervelde;51.08302, 3.88635
Bachte-Maria-Leerne;51.01132, 3.58145
Autelbas;49.64813, 5.86799
Arville;50.03203, 5.31665
Arsimont;50.42859, 4.63872
Appels;51.03225, 4.06141
Anderlues;50.40704, 4.27136
Zwevegem;50.81268, 3.33848
Yves-Gomezée;50.23926, 4.49344
Woluwe-Saint-Lambert;50.84389, 4.42912
Wodecq;50.71805, 3.74649
Wezemaal;50.94848, 4.75536
Westende;51.15961, 2.7687
Waudrez;50.4135, 4.15051
Watou;50.85864, 2.62074
Waarschoot;51.1525, 3.605
Villers-le-Bouillet;50.57708, 5.25945
Trivières;50.44827, 4.14511
Tinlot;50.47493, 5.37755
Tielen;51.24295, 4.89956
Stembert;50.59107, 5.89404
Schepdaal;50.83836, 4.19609
Rupelmonde;51.12931, 4.29434
Rixensart;50.71229, 4.52529
Puurs;51.07409, 4.28844
Pont-à-Celles;50.50518, 4.36887
Petit-Rechain;50.61489, 5.83417
Oudenburg;51.18489, 3.00035
Opprebais;50.67998, 4.79785
Nijlen;51.16096, 4.67008
Naninne;50.41888, 4.92634
Moortsele;50.95862, 3.77753
Moerkerke;51.24547, 3.34251
Milmort;50.69037, 5.59323
Machelen;50.91061, 4.44174
Louvain-la-Neuve;50.66829, 4.61443
Linden;50.89494, 4.77027
Lichtaart;51.22495, 4.91681
Liberchies;50.51421, 4.42123
Lens-Saint-Remy;50.65077, 5.1319
Ledeberg;51.03859, 3.74458
Lanklaar;51.01937, 5.72508
Langemark;50.9131, 2.91965
Kumtich;50.82101, 4.88723
Kruibeke;51.17048, 4.31444
Koninksem;50.76535, 5.43892
Kanne;50.81331, 5.66946
Izegem;50.91396, 3.21378
Ixelles;50.83333, 4.36667
Heusden;51.02815, 3.80425
Herve;50.64083, 5.79353
Hensies;50.43263, 3.68411
Han-sur-Lesse;50.12674, 5.18623
Handzame;51.0254, 3.0032
Ham-sur-Heure;50.323, 4.38844
Halle-Booienhoven;50.80534, 5.11173
Grand-Halleux;50.32583, 5.90722
Goetsenhoven;50.76882, 4.95157
Gemmenich;50.74608, 5.99507
Fraipont;50.56519, 5.72225
's-Gravenvoeren;50.75872, 5.76113
Floriffoux;50.45242, 4.77004
Faimes;50.66252, 5.26005
Escanaffles;50.75743, 3.45294
Erembodegem;50.91905, 4.05041
Ellignies-Sainte-Anne;50.56176, 3.6727
Elewijt;50.96043, 4.49684
Donk;50.93882, 5.13719
Destelbergen;51.05952, 3.79899
Denderbelle;51.00139, 4.09069
Brustem;50.80485, 5.22263
Braine-l'Alleud;50.68363, 4.36784
Bovekerke;51.05429, 2.96324
Bousval;50.61663, 4.508
Bléharies;50.51256, 3.41251
Bertem;50.86403, 4.62918
Bavegem;50.94435, 3.86497
Baal;50.9955, 4.75317
Attenrode;50.87782, 4.92438
Athus;49.56475, 5.83736
Argenteau;50.70211, 5.68448
Aalst;50.93604, 4.0355
Zingem;50.90409, 3.65305
Willebroek;51.06041, 4.36019
Wervik;50.78069, 3.03854
Wasmes;50.41464, 3.8471
Waret-la-Chaussée;50.54294, 4.92445
Wandre;50.66774, 5.65959
Walsbets;50.73762, 5.08409
Verrebroek;51.25537, 4.18882
Vedrin;50.50273, 4.87604
Uitkerke;51.30684, 3.13712
Tildonk;50.94383, 4.64481
Thuin;50.33933, 4.28604
Sint-Lambrechts-Herk;50.89914, 5.30786
Sclayn;50.48979, 5.02831
Schaltin;50.35952, 5.12535
Rijkevorsel;51.34795, 4.76053
Rebecq-Rognon;50.65147, 4.10683
Orcq;50.60322, 3.34924
Orbais;50.63798, 4.76352
Nieuwerkerken;50.8638, 5.19467
Mornimont;50.45903, 4.70447
Mettet;50.32119, 4.66232
Merbes-le-Château;50.32449, 4.16489
Meensel-Kiezegem;50.89621, 4.92496
Mariekerke;51.06503, 4.19249
Lummen;50.98772, 5.19121
Lotenhulle;51.0502, 3.46162
Lontzen;50.68126, 6.00712
Lier;51.13128, 4.57041
Libramont;49.91741, 5.37318
Lendelede;50.88626, 3.23747
Leffinge;51.17576, 2.87576
Kortemark;51.02951, 3.04112
Klerken;50.99643, 2.90771
Kerksken;50.89068, 3.99478
Jupille-sur-Meuse;50.64587, 5.63307
Iddergem;50.87634, 4.04434
Huizingen;50.7465, 4.27377
Hoeselt;50.84714, 5.48767
Hillegem;50.89567, 3.8531
Haasdonk;51.18151, 4.24137
Grote-Brogel;51.15281, 5.5059
Grimbergen;50.93409, 4.37213
Grembergen;51.05406, 4.10458
Gingelom;50.74792, 5.13422
Geraardsbergen;50.77343, 3.88223
Forrières;50.13132, 5.28268
Éthe;49.58, 5.58208
Ernage;50.59484, 4.67588
Erbisoeul;50.51523, 3.89568
Elst;50.83024, 3.73921
Dikkebus;50.82131, 2.82873
Dhuy;50.55936, 4.85922
Cul-des-Sarts;49.96248, 4.45427
Comines;50.7754, 3.00119
Chênée;50.612, 5.6141
Buissonville;50.21667, 5.2
Braine-le-Comte;50.60979, 4.14658
Beringen;51.04954, 5.22606
Bellaire;50.64453, 5.66585
Battice;50.64734, 5.82104
Alleur;50.67465, 5.51316
Terkoest;50.89832, 5.27623
Wenduine;51.2983, 3.08213
Walcourt;50.25401, 4.43796
Waha;50.20915, 5.34174
Visé;50.7376, 5.69907
Virton;49.56824, 5.53259
Villers-Perwin;50.52783, 4.47968
Trois-Ponts;50.37128, 5.87146
Trembleur;50.69544, 5.72604
Strombeek-Bever;50.91039, 4.35582
Silly;50.64877, 3.92363
Saint-Yvon;50.74335, 2.90992
Saint-Vith;50.28146, 6.12724
Saint-Marc;50.49218, 4.84749
Rollegem;50.76565, 3.26317
Queue-du-Bois;50.63759, 5.67993
Peutie;50.92998, 4.45187
Outrijve;50.75773, 3.42964
Ormeignies;50.59501, 3.75183
Oeselgem;50.93789, 3.43185
Nieuwrode;50.95, 4.83333
Neerijse;50.81722, 4.62361
Neerheylissem;50.75839, 4.9883
Momignies;50.0271, 4.16519
Millen;50.78619, 5.55616
Merchtem;50.95129, 4.23197
Meeuwen;51.0991, 5.52106
Maurage;50.45652, 4.09704
Maffle;50.61789, 3.80324
Machelen-aan-de-Leie;50.95973, 3.49046
Loncin;50.66655, 5.50509
Loenhout;51.39947, 4.64404
Ligny;50.51244, 4.57735
Liezele;51.05998, 4.28038
Leuven;50.87959, 4.70093
Knesselare;51.13932, 3.41282
Kettenis;50.64761, 6.04686
Ingelmunster;50.92081, 3.25571
Houwaart;50.93368, 4.85991
Houthulst;50.97824, 2.9505
Hoeilaart;50.7673, 4.46835
Heppignies;50.4846, 4.4953
Hannut;50.67142, 5.07898
Groot-Bijgaarden;50.87174, 4.24973
Grandhan;50.32944, 5.40996
Gosselies;50.46936, 4.43324
Goeferdinge;50.76605, 3.83978
Godveerdegem;50.85932, 3.82092
Gleixhe;50.61391, 5.39008
Geluwe;50.80978, 3.07695
Gelinden;50.7656, 5.26121
Froyennes;50.62185, 3.35456
Fexhe-Slins;50.72026, 5.56973
Ellezelles;50.73512, 3.67985
Eksel;51.15184, 5.3906
Eeklo;51.18703, 3.55654
De Haan;51.27261, 3.03446
Comblain-Fairon;50.4462, 5.5449
Boorsem;50.94206, 5.71898
Bois-de-Villers;50.39033, 4.82407
Bois-de-Lessines;50.69662, 3.89613
Binche;50.41155, 4.16469
Beselare;50.84812, 3.02449
Belsele;51.14598, 4.08859
Bellecourt;50.48067, 4.26793
Bassilly;50.67634, 3.93388
Barchon;50.66894, 5.7001
Aubel;50.70189, 5.85812
Aspelare;50.84189, 3.95743
Geluveld;50.83511, 2.99343
Frasnes-lez-Buissenal;50.66783, 3.62047
Frasnes;50.08022, 4.51384
Flobecq;50.73733, 3.73876
Emblem;51.16238, 4.60485
Dinant;50.25807, 4.91166
Dilbeek;50.84799, 4.25972
Desteldonk;51.12193, 3.78705
Dalhem;50.71315, 5.72774
Corbais;50.64609, 4.65589
Chimay;50.04856, 4.31712
Cerfontaine;50.17047, 4.41028
Bossière;50.5185, 4.69605
Boncelles;50.57108, 5.53625
Beerzel;51.05753, 4.67127
Beauvechain;50.78195, 4.7718
Barry;50.58771, 3.54272
Andrimont;50.61298, 5.88294
Ampsin;50.54153, 5.2779
Watervliet;51.27494, 3.62598
Ville-sur-Haine;50.47657, 4.06425
Vellereille-les-Brayeux;50.37952, 4.15112
Veldwezelt;50.86805, 5.63101
Trooz;50.57026, 5.69521
Tihange;50.52974, 5.26176
Sint-Antonius;51.26667, 4.63861
Sint-Amandsberg;51.05947, 3.74943
Saint-Denis;50.53567, 4.78278
Ruisbroek;51.08832, 4.33127
Romsée;50.61091, 5.66457
Recht;50.33801, 6.04883
Ravels;51.37274, 4.9921
Prayon;50.57795, 5.6753
Poelkapelle;50.9179, 2.95677
Pepinster;50.56568, 5.80386
Pâturages;50.4072, 3.855
Overboelare;50.76382, 3.86369
Oudegem;51.01017, 4.06195
Opgrimbie;50.94188, 5.67967
Opglabbeek;51.04258, 5.58346
Ohain;50.69885, 4.4698
Néchin;50.66702, 3.26649
Membach;50.61908, 5.99506
Melen;50.6462, 5.73589
Magnée;50.5998, 5.68834
Luttre;50.51006, 4.39709
Léglise;49.79985, 5.53652
La Calamine;50.71809, 6.01107
Kruishoutem;50.90168, 3.52588
Kontich;51.13213, 4.44706
Kaulille;51.18763, 5.52372
Hofstade;50.99134, 4.49229
Hoepertingen;50.81217, 5.28442
Hermée;50.70883, 5.61831
Herk-de-Stad;50.94013, 5.16636
Hérinnes;50.70063, 3.36323
Grand-Leez;50.58389, 4.7751
Givry;50.37826, 4.02932
Gilly;50.42449, 4.4789
Zoutleeuw;50.83316, 5.10376
Zemst;50.98318, 4.46079
Zellik;50.88408, 4.27325
Xhendelesse;50.60492, 5.77804
Wellen;50.84096, 5.33867
Waremme;50.6976, 5.25524
Vliermaalroot;50.86512, 5.42622
Villers-le-Temple;50.5086, 5.37077
Vertrijk;50.82925, 4.8345
Tongrinne;50.51561, 4.6243
Slins;50.72795, 5.56263
Sint-Joris-Winge;50.90446, 4.8749
Rumillies;50.62105, 3.44325
Ransart;50.46166, 4.47616
Pont-de-Loup;50.41656, 4.54594
Ottignies;50.66535, 4.56679
Opwijk;50.96724, 4.18442
Oostmalle;51.3, 4.73333
Oostkamp;51.15432, 3.23128
Oostakker;51.10124, 3.76945
Oorbeek;50.7991, 4.89235
Okegem;50.85559, 4.05516
Ohey;50.4357, 5.12375
Nukerke;50.79564, 3.59492
Nil-Saint-Vincent-Saint-Martin;50.64331, 4.68172
Neuville;50.17327, 4.51598
Moha;50.54802, 5.18641
Melsele;51.22285, 4.28201
Marche-lez-Écaussinnes;50.54601, 4.1818
Marche-en-Famenne;50.22678, 5.34416
Lo;50.98036, 2.74965
Limerlé;50.15804, 5.92395
Landen;50.75267, 5.082
Kortenberg;50.88982, 4.54353
Koningshooikt;51.09607, 4.60992
Kessel-Lo;50.88549, 4.73717
Juprelle;50.7076, 5.53127
Jemeppe-sur-Meuse;50.61701, 5.49849
Ichtegem;51.09572, 3.01549
Huppaye;50.69363, 4.89415
Hertsberge;51.10728, 3.26936
Herstal;50.66415, 5.62346
Hanret;50.58155, 4.9484
Halen;50.94837, 5.11096
Grote-Spouwen;50.83283, 5.55428
Evrehailles;50.32037, 4.91261
Elsegem;50.8236, 3.53601
Eigenbilzen;50.87491, 5.57582
Dikkelvenne;50.91927, 3.69507
Diegem;50.89727, 4.43354
Clavier;50.40069, 5.35154
Chaineux;50.63183, 5.83478
Celles;50.65441, 5.24666
Bray;50.43242, 4.10588
Braine-le-Château;50.6799, 4.27385
Bierbeek;50.82876, 4.75949
Baardegem;50.9548, 4.14203
Amay;50.54829, 5.30974
Alken;50.87553, 5.30558
Zonhoven;50.99064, 5.36819
Zoersel;51.26825, 4.71296
Zelem;50.97739, 5.10687
Zarlardinge;50.76214, 3.8285
Xhoris;50.44586, 5.60431
Wijshagen;51.10492, 5.55788
Westouter;50.79722, 2.74647
Wasmuel;50.44493, 3.84813
Wardin;49.99213, 5.79117
Voroux-lez-Liers;50.68745, 5.5544
Vilvoorde;50.92814, 4.42938
Viane;50.74232, 3.92478
Vezon;50.56917, 3.50469
Verviers;50.58907, 5.86241
Vaux-et-Borset;50.61385, 5.23438
Tohogne;50.38006, 5.479
Tisselt;51.03398, 4.35947
Thulin;50.43006, 3.74007
Thorembais-Saint-Trond;50.63485, 4.78406
Temse;51.12794, 4.21372
Templeuve;50.6441, 3.28013
Tarcienne;50.31204, 4.49676
Steendorp;51.12681, 4.27031
Soumagne;50.61385, 5.74679
Sint-Pauwels;51.19391, 4.09649
Sint-Martens-Lennik;50.81158, 4.16965
Sint-Joris-Weert;50.80235, 4.6526
Sint-Eloois-Winkel;50.87591, 3.18144
Schilde;51.24107, 4.58336
Sart-Saint-Laurent;50.40236, 4.74217
Saint-Pierre;49.90376, 5.3875
Saint-Amand;50.50611, 4.54988
Ruien;50.76865, 3.48581
Pommeroeul;50.46188, 3.71252
Plainevaux;50.54562, 5.52329
Perre;50.88914, 3.86098
Papignies;50.68596, 3.81783
Ouwegem;50.91231, 3.59978
Onhaye;50.24148, 4.84069
Noville;50.06386, 5.76104
Mopertingen;50.86123, 5.5759
Messelbroek;50.9955, 4.93664
Merelbeke;50.99447, 3.74621
Massenhoven;51.20021, 4.63572
Maisières;50.4882, 3.96564
Loverval;50.37519, 4.47332
Lembeek;50.7157, 4.21832
Ledeberg;50.84356, 4.09112
Labuissière;50.31944, 4.1809
Kieldrecht;51.28914, 4.17587
Kermt;50.94757, 5.24832
Jandrain-Jandrenouille;50.67177, 4.97801
Houtvenne;51.0418, 4.80863
Heverlee;50.86426, 4.69597
Heure-le-Romain;50.73162, 5.6329
Hastière-Lavaux;50.21849, 4.82446
Gooik;50.79443, 4.11378
Gesves;50.40146, 5.07457
Genappe;50.61173, 4.45152
Geel;51.16557, 4.98917
Eupen;50.6279, 6.03647
Duisburg;50.81584, 4.55533
Drongen;51.05067, 3.65649
Charneux;50.66938, 5.80493
Braives;50.62848, 5.14798
Bracquegnies;50.47094, 4.1197
Bouillon;49.79324, 5.06703
Blanden;50.82622, 4.71022
Beek;51.15517, 5.60302
Bas-Oha;50.52652, 5.19216
Anvaing;50.68318, 3.56144
Aische-en-Refail;50.60009, 4.83775
Wilsele;50.89188, 4.69769
Westerlo;51.09049, 4.91544
Vremde;51.17535, 4.52321
Vlezenbeek;50.80778, 4.23197
Vinderhoute;51.08764, 3.64158
Vierset-Barse;50.48373, 5.29816
Vezin;50.49623, 5.00899
Trazegnies;50.46379, 4.3329
Toernich;49.65178, 5.77741
Sint-Pieters-Leeuw;50.77926, 4.24355
Sibret;49.97073, 5.63453
Saint-Remy;50.69564, 5.70405
Rouvroy;49.53771, 5.49031
Rollegem-Kapelle;50.8687, 3.14635
Ranst;51.18983, 4.56533
Ramsel;51.0324, 4.83242
Paliseul;49.90395, 5.13537
Overpelt;51.21038, 5.41557
Oudenaarde;50.85168, 3.60891
Ostend;51.21551, 2.927
On;50.17176, 5.28936
Odeur;50.70642, 5.41578
Ochamps;49.92453, 5.27679
Noduwez;50.72863, 4.96779
Nieuwkerke;50.74709, 2.8286
Moorslede;50.8919, 3.06117
Monceau-sur-Sambre;50.41694, 4.37668
Merkem;50.95284, 2.85225
Lovenjoel;50.85852, 4.78094
Liers;50.69396, 5.56458
Leest;51.03319, 4.4153
Landelies;50.38001, 4.35076
Lanaken;50.89318, 5.6468
Lambermont;50.59038, 5.83245
Kampenhout;50.9421, 4.55103
Kain;50.63869, 3.39688
Ittre;50.64396, 4.26476
Ingooigem;50.82013, 3.43373
Huy;50.51894, 5.23284
Hulste;50.88217, 3.29497
Horrues;50.60845, 4.04278
Herfelingen;50.74816, 4.09754
Gelbressée;50.50611, 4.95552
Forest;50.81678, 4.32775
Falisolle;50.41814, 4.62104
Essene;50.90163, 4.13743
Épinois;50.406, 4.20666
Elverdinge;50.88476, 2.8171
Court-Saint-Étienne;50.63378, 4.56851
Clermont;50.65926, 5.88455
Champion;50.4953, 4.90385
Cambron-Saint-Vincent;50.58493, 3.92186
Bornem;51.09716, 4.24364
Boekhoute;51.25859, 3.71783
Bilzen;50.87325, 5.5184
Beverst;50.89091, 5.47548
Baileux;50.02877, 4.37533
Archennes;50.75261, 4.66962
Amougies;50.74446, 3.50675
Aartselaar;51.13412, 4.38678
Zandhoven;51.21488, 4.66164
Wommelgem;51.20452, 4.5225
Winenne;50.09751, 4.89492
Webbekom;50.9741, 5.04032
Wanzele;50.97425, 3.95642
Vottem;50.67155, 5.57693
Vlimmeren;51.2952, 4.78128
Velaines;50.66801, 3.4866
Tielrode;51.11303, 4.17707
Stoumont;50.40667, 5.80838
Sint-Job-in-'t-Goor;51.29907, 4.57289
Sijsele;51.20846, 3.31714
Saint-Symphorien;50.43903, 4.00726
Ruiselede;51.04039, 3.39416
Rouvreux;50.48984, 5.65006
Rillaar;50.97376, 4.89177
Piétrain;50.72532, 4.92033
Passendale;50.89979, 3.02133
Oud-Turnhout;51.31978, 4.9841
Olsene;50.93422, 3.46389
Oekene;50.91794, 3.15676
Noville;50.65984, 5.38197
Namur;50.4669, 4.86746
Mont-Saint-Guibert;50.63427, 4.61061
Mazy;50.51097, 4.67374
Lommersweiler;50.24, 6.165
Lens;50.55696, 3.89946
Lauwe;50.79479, 3.1869
La Bouverie;50.40524, 3.8744
Korbeek-Lo;50.86028, 4.76274
Kemzeke;51.20981, 4.07428
Houthalen;51.03427, 5.37429
Hombourg;50.72257, 5.92051
Hodeige;50.69635, 5.34159
Heule;50.83752, 3.23818
Herne;50.72423, 4.03481
Herentals;51.17655, 4.83248
Heers;50.75383, 5.3021
Halanzy;49.56052, 5.74433
Zeebrugge;51.32901, 3.18188
Wiers;50.50862, 3.53468
Wasseiges;50.62186, 5.00528
Waltwilder;50.86641, 5.54425
Villers-Poterie;50.35379, 4.54885
Veltem-Beisem;50.90807, 4.61906
Tielt;50.99931, 3.32707
Thimister;50.65539, 5.86421
Tessenderlo;51.06513, 5.08856
Strijpen;50.86801, 3.78797
Steenhuize-Wijnhuize;50.83968, 3.88805
Sombreffe;50.52865, 4.60087
Sint-Ulriks-Kapelle;50.87899, 4.21884
Sint-Jan-in-Eremo;51.27161, 3.58062
Reninge;50.94781, 2.78892
Rekem;50.92244, 5.6938
Lettelingen;50.68333, 4.08333
Péronnes;50.43782, 4.14906
Ooigem;50.89334, 3.3363
Nieuwkerken-Waas;51.19358, 4.17776
Mons;50.45413, 3.95229
Meerhout;51.1321, 5.07842
Mark;50.6914, 4.01559
Lustin;50.37876, 4.89871
Lochristi;51.09644, 3.83194
Limal;50.69477, 4.57538
Deux-Acren;50.73026, 3.85315
Lambusart;50.45433, 4.55263
Kraainem;50.86155, 4.46946
Kortrijk;50.82803, 3.26487
Kleine-Spouwen;50.83837, 5.55007
Keerbergen;51.00295, 4.63434
Kapellen;50.88593, 4.95174
Jette;50.87309, 4.33419
Ieper;50.85114, 2.88569
Houffalize;50.13235, 5.78962
Heppen;51.10934, 5.22898
Hautrage;50.48192, 3.76522
Hamme;51.09822, 4.13705
Guigoven;50.83925, 5.40039
Grobbendonk;51.19043, 4.73562
Goutroux;50.41333, 4.36226
Ghoy;50.72834, 3.80983
Floreffe;50.43452, 4.7596
Flamierge;50.03324, 5.60294
Eernegem;51.1326, 3.02562
Donceel;50.64827, 5.32
Crombach;50.26, 6.0675
Burst;50.91497, 3.91636
Bras;49.97089, 5.39485
Boutersem;50.84105, 4.83367
Boortmeerbeek;50.97929, 4.57443
Blégny;50.67255, 5.72508
Bioul;50.33146, 4.79618
Béclers;50.62123, 3.5042
Bas-Warneton;50.75937, 2.95996
Baelen;50.63131, 5.97433
Antwerpen;51.22047, 4.40026
Aarsele;50.99663, 3.41954
Aaigem;50.88921, 3.93674
Jandrain;50.67438, 4.98024
Florennes;50.25127, 4.60636
Fleurus;50.48351, 4.55006
Eugies;50.38893, 3.88513
Eke;50.95929, 3.6396
Dworp;50.72983, 4.30106
Denderhoutem;50.87234, 4.01821
Daverdisse;50.02161, 5.11811
Clabecq;50.69245, 4.2215
Chièvres;50.58787, 3.80711
Bomal;50.37634, 5.52382
Blaugies;50.37218, 3.80582
Bekegem;51.15976, 3.0457
Beauraing;50.11042, 4.95554
Astene;50.98512, 3.56654
Amblève;50.35357, 6.17002
Reuland;50.19553, 6.13548
Wortel;51.39827, 4.7946
Westrozebeke;50.93178, 3.01001
Weerde;50.97345, 4.47487
Wavreille;50.12119, 5.24831
Vollezele;50.76121, 4.02435
Viesville;50.49088, 4.40852
Uikhoven;50.92386, 5.71921
Thiaumont;49.71523, 5.73056
Tervuren;50.82372, 4.51418
Staden;50.97456, 3.01469
Sint-Jan;50.86503, 2.90478
Sart-Dames-Avelines;50.56863, 4.49221
Saint-Vaast;50.45426, 4.16041
Saint-Josse-ten-Noode;50.8538, 4.37282
Saint-Hubert;50.02668, 5.37401
Roclenge-sur-Geer;50.75688, 5.59444
Rendeux;50.23423, 5.50414
Racour;50.73924, 5.02806
Quaregnon;50.44067, 3.8653
Poppel;51.44565, 5.0433
Oud-Heverlee;50.83522, 4.66421
Ophain-Bois-Seigneur-Isaac;50.66646, 4.34865
Neerpelt;51.22807, 5.4427
Montegnée;50.64576, 5.51411
Moerbeke;50.75254, 3.91724
Meldert;51.00007, 5.14215
Marke;50.80678, 3.23344
Marche-les-Dames;50.48585, 4.95967
Loupoigne;50.59806, 4.44448
Loppem;51.15662, 3.19599
Leopoldsburg;51.11667, 5.25
Leerbeek;50.77788, 4.11936
Lauw;50.73881, 5.41333
Kozen;50.8752, 5.24005
Knokke-Heist;51.35, 3.26667
Kessel;51.13892, 4.62962
Kemmel;50.78333, 2.82714
Jurbise;50.531, 3.90942
Jeuk;50.73499, 5.20992
Jabbeke;51.18185, 3.08935
Impe;50.96048, 3.9501
Heist-op-den-Berg;51.07537, 4.72827
Harchies;50.47963, 3.69347
Geest-Gérompont-Petit-Rosière;50.64043, 4.8587
Flémalle-Grande;50.60906, 5.47668
Ferrières;50.40157, 5.61092
Erwetegem;50.85547, 3.81444
Eindhout;51.10385, 4.9999
Durbuy;50.35291, 5.45631
Dudzele;51.2737, 3.22533
Drieslinter;50.84573, 5.05045
Deurne;51.22134, 4.46595
Chastre-Villeroux-Blanmont;50.60857, 4.64198
Bouwel;51.17289, 4.7418
Blaasveld;51.05585, 4.37668
Bihain;50.23946, 5.80849
Biesme;50.34015, 4.61048
Beveren;51.21187, 4.25633
Berlaar;51.1176, 4.65835
Beez;50.4686, 4.91175
Bastogne;50.00347, 5.71844
Awans;50.66774, 5.46329
Attert;49.75035, 5.78634
Achêne;50.26701, 5.04539
Zaventem;50.88365, 4.47298
Wonck;50.76687, 5.6362
Wetteren;51.00526, 3.88341
Welden;50.87684, 3.65453
Veurne;51.07316, 2.66803
Tongerlo;51.10622, 4.91638
Tongeren;50.78054, 5.46484
Tilly;50.56078, 4.55495
Thieu;50.47428, 4.09258
Sint-Pieters-Rode;50.93247, 4.82245
Sint-Andries;51.19696, 3.17891
Serskamp;50.98849, 3.92657
Rijkhoven;50.83294, 5.51497
Petigny;50.05739, 4.53307
Petegem;50.83333, 3.55
Pecq;50.68619, 3.33789
Olen;51.14391, 4.8598
Nismes;50.07523, 4.54767
Naast;50.55413, 4.10082
Menen;50.79722, 3.12245
Massemen;50.98086, 3.87394
Longvilly;50.02633, 5.83829
Leefdaal;50.84759, 4.58936
La Bruyère;50.39478, 4.61444
Kalken;51.03836, 3.9186
Jehay;50.5731, 5.32382
Jambes;50.45636, 4.87166
Itterbeek;50.83803, 4.24948
Itegem;51.10328, 4.72855
Incourt;50.69151, 4.79816
Houtain-Saint-Siméon;50.74026, 5.6123
Hoboken;51.17611, 4.34844
Harelbeke;50.85343, 3.30935
Glabbeek;50.87267, 4.95615
Gavere;50.92917, 3.66184
Dergneau;50.71399, 3.58004
Dendermonde;51.02869, 4.10106
Ciplet;50.61756, 5.09027
Boussoit;50.45947, 4.08245
Bernissart;50.4746, 3.64961
Aywaille;50.47411, 5.67684
Assent;50.95187, 5.01473
Appelterre-Eichem;50.81597, 3.97808
Zandvoorde;51.19942, 2.9722
Wondelgem;51.08705, 3.70909
Wegnez;50.57895, 5.81705
Weelde;51.40777, 4.99251
Veldegem;51.1048, 3.1591
Vaulx-lez-Tournai;50.59406, 3.42954
Val-Meer;50.78715, 5.59557
Ternat;50.86654, 4.16682
Tenneville;50.09501, 5.52895
Stavelot;50.395, 5.93124
Spalbeek;50.94918, 5.22391
Smetlede;50.9662, 3.92796
Sint-Martens;50.83889, 4.92436
Sint-Lievens-Esse;50.8566, 3.88792
Sint-Eloois-Vijve;50.90911, 3.41545
Saint-Servais;50.4763, 4.83656
Saint-Denis;50.4905, 4.02048
Rochefort;50.1631, 5.2216
Rèves;50.53809, 4.41075
Orp-le-Grand;50.70331, 4.9891
Oostham;51.10374, 5.17877
Noville-les-Bois;50.55702, 4.98466
Noorderwijk;51.14122, 4.84061
Neeroeteren;51.09156, 5.69933
Nalinnes;50.32434, 4.44572
Mielen-boven-Aalst;50.75644, 5.21421
Merendree;51.0766, 3.576
Mechelen-Bovelingen;50.74081, 5.26278
Maldegem;51.20737, 3.44511
Mal;50.76869, 5.5197
Luingne;50.73952, 3.23603
Lommel;51.23074, 5.31349
Lixhe;50.7544, 5.68028
Lichtervelde;51.03333, 3.15
Leuze;50.6, 3.6
La Reid;50.48914, 5.79098
Kaggevinne;50.98037, 5.01886
Hornu;50.4328, 3.82736
Hoegaarden;50.7756, 4.88952
Herchies;50.52794, 3.85689
Hemiksem;51.14484, 4.33874
Heestert;50.78204, 3.41218
Halle;51.24075, 4.64327
Habay-la-Vieille;49.72329, 5.61999
Godinne;50.34809, 4.87364
Geetbets;50.89431, 5.11199
Gedinne;49.98037, 4.93674
Feluy;50.56258, 4.25098
Dentergem;50.96429, 3.41617
De Klinge;51.25627, 4.09041
Deerlijk;50.85337, 3.35416
Cheratte;50.68237, 5.66955
Charleroi;50.41136, 4.44448
Breendonk;51.04301, 4.32364
Brecht;51.35024, 4.63829
Beveren-Leie;50.87538, 3.34034
Bellefontaine;49.66429, 5.49608
Aubange;49.56652, 5.80492
Anzegem;50.837, 3.47786
Ans;50.6623, 5.52029
Alsemberg;50.74134, 4.33754
Petegem-aan-de-Schelde;50.83344, 3.55609
Zuienkerke;51.26511, 3.15506
Zolder;51.02455, 5.30983
Zepperen;50.82139, 5.24769
Xhendremael;50.70454, 5.47984
Wortegem;50.85357, 3.51
Wijer;50.89863, 5.22446
Westvleteren;50.92744, 2.71688
Welkenraedt;50.6605, 5.97034
